trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.95}",30,0,-159.8886883592756,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.8999999999999999}",25,0,-305.04372346207884,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 6}",0
3,False,"{'a': 0.7, 'e': 0.8499999999999999}",20,0,-106.36925382300652,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.7999999999999998}",20,0,-196.49075944167888,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.7499999999999998}",30,0,-84.41253833455477,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.6999999999999997}",25,18,-0.8435959096919241,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.6499999999999997}",35,0,-102.93740481636459,"{0: 21, 1: 5, 2: 8, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.5999999999999996}",20,0,-85.81675764172826,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.5499999999999996}",30,0,-203.17812126581794,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 5}",0
10,False,"{'a': 0.7, 'e': 0.4999999999999996}",25,0,-36.43118625816811,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.4499999999999996}",25,0,-80.33808409593627,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.39999999999999963}",20,0,-22.995734996950144,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.34999999999999964}",25,0,-55.03116279083144,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.29999999999999966}",20,0,-16.156427768314646,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.24999999999999967}",20,0,-46.31200572631484,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.19999999999999968}",30,0,-2.438458030603495,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.1499999999999997}",25,0,-90.32152279876817,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.09999999999999969}",20,16,6.0605221388528605,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.049999999999999684}",25,0,-42.80961347374776,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.7, 'e': -3.191891195797325e-16}",25,0,-17.59109405144516,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-7.197960360064972,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,4.579934669835086,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-20.144849714126703,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-5.160795185177373,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-8.809054692168212,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-19.65033917974673,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-25.38435989573831,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-120.55991708968823,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-68.72624591749046,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,3,20.318311256731555,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
