trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.99}",30,4,-177.48195868791893,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 3}",1
2,False,"{'a': 0.7, 'e': 0.9801}",20,0,-117.11611944578037,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.9702989999999999}",25,0,-142.12158104608486,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.96059601}",25,0,-215.89192256134717,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.7, 'e': 0.9509900498999999}",30,0,-146.35283845025538,"{0: 22, 1: 0, 2: 3, 3: 3, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.9414801494009999}",35,0,-110.75671637774002,"{0: 26, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.9320653479069899}",20,0,-32.45593564170097,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.92274469442792}",35,0,-130.04777297708446,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.9135172474836407}",20,0,-13.863778885918661,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.9043820750088043}",20,0,-111.58092356145679,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.8953382542587163}",20,0,-30.787206614930483,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.8863848717161291}",20,11,-8.113954258978934,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.8775210229989678}",25,0,-163.24752367633633,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.7, 'e': 0.8687458127689781}",20,0,-68.49664269975014,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
