trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",30,0,-158.8942642507737,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.6, 'e': 0.8999999999999999}",35,0,-126.4839361952016,"{0: 23, 1: 1, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.8499999999999999}",25,0,-120.22762585524731,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.7999999999999998}",30,0,-91.6906050097832,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.7499999999999998}",20,0,-52.229050134071116,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.6999999999999997}",20,0,-53.236098332298525,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.6499999999999997}",30,0,-156.53338195053982,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.5999999999999996}",20,0,-66.37797239511303,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.5499999999999996}",30,0,-183.9732950884301,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.4999999999999996}",25,0,-45.7826636712511,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.4499999999999996}",35,0,-127.23406798356417,"{0: 28, 1: 0, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.6, 'e': 0.39999999999999963}",20,0,-173.3746075372174,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.6, 'e': 0.34999999999999964}",25,0,-53.67635649011298,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.29999999999999966}",30,0,-159.5987131148227,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.24999999999999967}",30,16,-16.80885820334678,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.19999999999999968}",25,0,-122.72500688033266,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.6, 'e': 0.1499999999999997}",20,0,-129.75741381315365,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.6, 'e': 0.09999999999999969}",30,0,-169.46392328113163,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.049999999999999684}",25,0,-82.28044904099532,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
